1 ric 0.01 0.296902 0.4 8 0.51 0.0154746 0.99 
2 chris 0.01 0.296944 0.3 6 0.65 0.0576262 0.75 
3 garrit 0.01 0.296975 0.2 4 0.75 0.015699 0.5 
4 mike 0.01 0.296994 0.1 2 0.99 0.0110637 0.25 
1 ric 0.11 0.466083 0.4 8 0.51 0.148877 0.99 
2 chris 0.11 0.423765 0.3 6 0.65 0.0298413 0.75 
3 garrit 0.11 0.400832 0.2 4 0.75 0.0442909 0.5 
4 mike 0.11 0.350312 0.1 2 0.99 0.0178093 0.25 
1 ric 0.2 0.691141 0.4 8 0.51 0.148877 0.99 
2 chris 0.2 0.595506 0.3 6 0.65 0.0114149 0.75 
3 garrit 0.2 0.531929 0.2 4 0.75 0.0149475 0.5 
4 mike 0.2 0.417203 0.1 2 0.99 0.0117898 0.25 
1 ric 0.3 0.566757 0.4 8 0.51 0.0267779 0.99 
2 chris 0.3 0.894069 0.3 6 0.65 0.0120491 0.75 
3 garrit 0.3 0.750492 0.2 4 0.75 0.0108857 0.5 
4 mike 0.3 0.520057 0.1 2 0.99 0.0691177 0.25 
6 ric 0.3 0.566757 0.4 8 0.51 2.47949 0.99 
1 ric 0.4 0.866935 0.4 8 0.51 0.339988 0.99 
2 chris 0.4 0.592003 0.3 6 0.65 0.0935969 0.75 
3 garrit 0.4 0.994848 0.2 4 0.75 0.0586418 0.5 
4 mike 0.4 0.650654 0.1 2 0.99 0.0691177 0.25 
6 ric 0.4 0.866935 0.4 8 0.51 2.47949 0.99 
7 chris 0.4 0.592003 0.3 6 0.65 0.0270547 0.75 
1 ric 0.5 0.658681 0.4 8 0.51 0.339988 0.99 
2 chris 0.5 0.812049 0.3 6 0.65 0.0935969 0.75 
3 garrit 0.5 0.675348 0.2 4 0.75 0.236751 0.5 
4 mike 0.5 0.679027 0.1 2 0.99 0.0691177 0.25 
6 ric 0.5 0.658681 0.4 8 0.51 2.47949 0.99 
7 chris 0.5 0.812049 0.3 6 0.65 3.03469 0.75 
8 garrit 0.5 0.602898 0.2 4 0.75 1.05105 0.5 
9 ric 0.5 0.547754 0.4 8 0.51 0.339988 0.99 
10 ric 0.5 0.519961 0.4 8 0.51 2.47949 0.99 
1 ric 0.6 0.894065 0.4 8 0.51 0.339988 0.99 
2 chris 0.6 0.968702 0.3 6 0.65 0.013992 0.75 
3 garrit 0.6 0.932664 0.2 4 0.75 0.236751 0.5 
4 mike 0.6 0.614294 0.1 2 0.99 0.482221 0.25 
6 ric 0.6 0.894065 0.4 8 0.51 2.47949 0.99 
7 chris 0.6 0.968702 0.3 6 0.65 3.03469 0.75 
8 garrit 0.6 0.520128 0.2 4 0.75 1.05105 0.5 
9 ric 0.6 0.494449 0.4 8 0.51 0.339988 0.99 
10 ric 0.6 0.46958 0.4 8 0.51 2.47949 0.99 
11 garrit 0.61 0.526468 0.2 4 0.75 1.05105 0.5 
1 ric 0.7 0.570624 0.4 8 0.51 0.339988 0.99 
2 chris 0.7 0.604183 0.3 6 0.65 0.0624108 0.75 
3 garrit 0.7 0.548252 0.2 4 0.75 0.236751 0.5 
4 mike 0.7 0.63577 0.1 2 0.99 0.482221 0.25 
6 ric 0.7 0.570624 0.4 8 0.51 2.47949 0.99 
7 chris 0.7 0.604183 0.3 6 0.65 3.03469 0.75 
8 garrit 0.7 0.790641 0.2 4 0.75 1.05105 0.5 
9 ric 0.7 0.446233 0.4 8 0.51 0.339988 0.99 
10 ric 0.7 0.519163 0.4 8 0.51 2.47949 0.99 
11 garrit 0.7 0.587449 0.2 4 0.75 1.05105 0.5 
12 chris 0.7 0.461054 0.3 6 0.65 1.11869 0.75 
13 chris 0.7 0.461059 0.3 6 0.65 3.03469 0.75 
14 garrit 0.7 0.544251 0.2 4 0.75 0.236751 0.5 
15 ric 0.7 0.47886 0.4 8 0.51 0.339988 0.99 
16 ric 0.7 0.479165 0.4 8 0.51 2.47949 0.99 
1 ric 0.8 0.607615 0.4 8 0.51 0.0163 0.99 
2 chris 0.8 0.618443 0.3 6 0.65 0.0857954 0.75 
3 garrit 0.8 0.572003 0.2 4 0.75 0.236751 0.5 
4 mike 0.8 0.852655 0.1 2 0.99 0.482221 0.25 
6 ric 0.8 0.607615 0.4 8 0.51 2.47949 0.99 
7 chris 0.8 0.618443 0.3 6 0.65 3.03469 0.75 
8 garrit 0.8 0.933148 0.2 4 0.75 1.05105 0.5 
9 ric 0.8 0.590978 0.4 8 0.51 3.14703 0.99 
10 ric 0.8 0.537561 0.4 8 0.51 2.47949 0.99 
11 garrit 0.8 0.869829 0.2 4 0.75 1.05105 0.5 
12 chris 0.8 0.416431 0.3 6 0.65 1.11869 0.75 
13 chris 0.8 0.416435 0.3 6 0.65 3.03469 0.75 
14 garrit 0.8 0.759279 0.2 4 0.75 0.236751 0.5 
15 ric 0.8 0.432135 0.4 8 0.51 3.13052 0.99 
16 ric 0.8 0.563467 0.4 8 0.51 2.47949 0.99 
1 ric 0.9 0.548579 0.4 8 0.51 0.0703776 0.99 
2 chris 0.9 0.558771 0.3 6 0.65 0.0857954 0.75 
3 garrit 0.9 0.51707 0.2 4 0.75 0.236751 0.5 
4 mike 0.9 0.891864 0.1 2 0.99 0.482221 0.25 
6 ric 0.9 0.548579 0.4 8 0.51 2.47949 0.99 
7 chris 0.9 0.558771 0.3 6 0.65 3.03469 0.75 
8 garrit 0.9 0.548075 0.2 4 0.75 1.05105 0.5 
9 ric 0.9 0.867069 0.4 8 0.51 3.14703 0.99 
10 ric 0.9 0.485223 0.4 8 0.51 2.47949 0.99 
11 garrit 0.9 0.921387 0.2 4 0.75 1.05105 0.5 
12 chris 0.9 0.376075 0.3 6 0.65 1.11869 0.75 
13 chris 0.9 0.376079 0.3 6 0.65 3.03469 0.75 
14 garrit 0.9 0.817237 0.2 4 0.75 0.236751 0.5 
15 ric 0.9 0.389878 0.4 8 0.51 3.13052 0.99 
16 ric 0.9 0.668185 0.4 8 0.51 2.47949 0.99 
17 garrit 0.9 0.489811 0.2 4 0.75 1.05105 0.5 
1 ric 1 0.495188 0.4 8 0.51 0.056864 0.99 
2 chris 1 0.504805 0.3 6 0.65 0.0216896 0.75 
3 garrit 1 0.46739 0.2 4 0.75 0.034755 0.5 
4 mike 1 0.915721 0.1 2 0.99 0.482221 0.25 
6 ric 1 0.495188 0.4 8 0.51 2.47949 0.99 
7 chris 1 0.504805 0.3 6 0.65 3.03469 0.75 
8 garrit 1 0.670955 0.2 4 0.75 1.05105 0.5 
9 ric 1 0.975288 0.4 8 0.51 3.14703 0.99 
10 ric 1 0.43789 0.4 8 0.51 2.47949 0.99 
11 garrit 1 0.92836 0.2 4 0.75 1.05105 0.5 
12 chris 1 0.339577 0.3 6 0.65 1.11869 0.75 
13 chris 1 0.339581 0.3 6 0.65 3.03469 0.75 
14 garrit 1 0.856971 0.2 4 0.75 0.994002 0.5 
15 ric 1 0.351662 0.4 8 0.51 3.13052 0.99 
16 ric 1 0.715963 0.4 8 0.51 2.47949 0.99 
17 garrit 1 0.442737 0.2 4 0.75 1.05105 0.5 
1 ric 1.1 0.446902 0.4 8 0.51 0.0644758 0.99 
2 chris 1.1 0.455999 0.3 6 0.65 0.152681 0.75 
3 garrit 1.1 0.42246 0.2 4 0.75 0.40433 0.5 
4 mike 1.1 0.926804 0.1 2 0.99 0.482221 0.25 
6 ric 1.1 0.446902 0.4 8 0.51 2.47949 0.99 
7 chris 1.1 0.455999 0.3 6 0.65 3.03469 0.75 
8 garrit 1.1 0.765128 0.2 4 0.75 1.05105 0.5 
9 ric 1.1 0.557513 0.4 8 0.51 3.14703 0.99 
10 ric 1.1 0.395083 0.4 8 0.51 2.47949 0.99 
11 garrit 1.1 0.888602 0.2 4 0.75 1.05105 0.5 
12 chris 1.1 0.30657 0.3 6 0.65 1.11869 0.75 
13 chris 1.1 0.306573 0.3 6 0.65 3.03469 0.75 
14 garrit 1.1 0.881437 0.2 4 0.75 0.994002 0.5 
15 ric 1.1 0.317099 0.4 8 0.51 3.13052 0.99 
16 ric 1.1 0.704721 0.4 8 0.51 2.47949 0.99 
17 garrit 1.1 0.400165 0.2 4 0.75 1.05105 0.5 
18 ric 1.1 0.518977 0.4 8 0.51 3.14703 0.99 
1 ric 1.2 0.403233 0.4 8 0.51 0.0119034 0.99 
2 chris 1.2 0.411859 0.3 6 0.65 0.152681 0.75 
3 garrit 1.2 0.381826 0.2 4 0.75 0.40433 0.5 
4 mike 1.2 0.927337 0.1 2 0.99 0.482221 0.25 
6 ric 1.2 0.403233 0.4 8 0.51 2.47949 0.99 
7 chris 1.2 0.411859 0.3 6 0.65 3.03469 0.75 
8 garrit 1.2 0.834959 0.2 4 0.75 1.05105 0.5 
